  0000100131                                                abap                                                                                                                                
  0000100073                                                fi                                                                                                                                  
  0000100044                                                pp                                                                                                                                  
  0000100029                                                sd                                                                                                                                  
  0000100003                                                mm                                                                                                                                  
TR0000300028ME51N                                           创建采购申请                                                                                                                              
TR0000300027BP                                              处理业务合作伙伴                                                                                                                            
TR0000300026MM01                                            创建物料&                                                                                                                               
TR0000300025MIRO                                            输入收款发票                                                                                                                              
TR0000300024MB51                                            物料凭证清单                                                                                                                              
TR0000300023MB52                                            现有仓库库存清单                                                                                                                            
TR0000300022CO02                                            更改生产订单                                                                                                                              
TR0000300021CO01                                            创建生产订单                                                                                                                              
TR0000300020MM12                                            计划更改物料&                                                                                                                             
TR0000300019MM60                                            物料清单                                                                                                                                
TR0000300018MIRO                                            输入收款发票                                                                                                                              
TR0000300017MM11                                            计划创建物料&                                                                                                                             
TR0000300016MMBE                                            库存概览                                                                                                                                
TR0000300015MIGO                                            货物移动                                                                                                                                
TR0000300014ME2L                                            采购订单（按供应商）                                                                                                                          
TR0000300013ME51N                                           创建采购申请                                                                                                                              
TR0000300012ME21N                                           创建采购订单                                                                                                                              
TR0000300011ME28                                            审批采购订单                                                                                                                              
TR0000300010ME29N                                           批准采购订单                                                                                                                              
TR0000300009ME55                                            采购请求的集中批准                                                                                                                           
TR0000300008ME57                                            分配和处理申请                                                                                                                             
TR0000300007ME54N                                           批准采购请求                                                                                                                              
TR0000300006ME11                                            创建采购信息记录                                                                                                                            
TR0000300005C223                                            维护生产版本                                                                                                                              
TR0000300004CS01                                            生成物料 BOM                                                                                                                            
TR0002900043SPRO                                            定制 - 编辑项目                                                                                                                           
TR0002900042VA03                                            显示销售订单                                                                                                                              
TR0002900041VF01                                            创建开票凭证                                                                                                                              
TR0002900040VF11                                            取消出具发票凭证                                                                                                                            
TR0002900039VL03N                                           显示出库交货                                                                                                                              
TR0002900038VL03                                            显示出库交货                                                                                                                              
TR0002900037VL10A                                           交货的销售订单到期                                                                                                                           
TR0002900036VL01N                                           创建带有订单参考的外向交货                                                                                                                       
TR0002900035VA03                                            显示销售订单                                                                                                                              
TR0002900034VA05                                            销售订单清单                                                                                                                              
TR0002900033BP                                              处理业务合作伙伴                                                                                                                            
TR0002900032VA01                                            创建销售订单                                                                                                                              
TR0002900031VK11                                            创建条件                                                                                                                                
TR0002900030SEARCH_SAP_MENU                                 在 SAP 菜单中查找                                                                                                                         
TR0004400130CS11                                            逐层显示 BOM                                                                                                                            
TR0004400072MD11                                            创建计划订单                                                                                                                              
TR0004400071CO15                                            输入生产订单确认                                                                                                                            
TR0004400070CO13                                            生产订单的确认取消                                                                                                                           
TR0004400069CO04                                            打印生产订单                                                                                                                              
TR0004400068CO11                                            输入计工单                                                                                                                               
TR0004400067VA01                                            创建销售订单                                                                                                                              
TR0004400066CO13                                            生产订单的确认取消                                                                                                                           
TR0004400065CS20                                            大量更改 : 初始屏幕                                                                                                                         
TR0004400064CS15                                            单层反查清单                                                                                                                              
TR0004400063CS02                                            更改物料 BOM                                                                                                                            
TR0004400062CR01                                            创建工作中心                                                                                                                              
TR0004400061COOIS                                           生产订单信息系统                                                                                                                            
TR0004400060CO41                                            计划订单的集中变换                                                                                                                           
TR0004400059CO40                                            转换计划订单                                                                                                                              
TR0004400058MD12                                            更改计划订单                                                                                                                              
TR0004400057MD02                                            MRP - 单项，多级                                                                                                                         
TR0004400056MD01                                            MRP 运行                                                                                                                              
TR0004400055C223                                            维护生产版本                                                                                                                              
TR0004400054LSMW                                            Legacy System Migration Workbench                                                                                                   
TR0004400053CA01                                            创建工艺路线                                                                                                                              
TR0004400052CR60                                            工作中心信息系统                                                                                                                            
TR0004400051KP26                                            改变作业类型计划数据                                                                                                                          
TR0004400050CR01                                            创建工作中心                                                                                                                              
TR0004400049CS13                                            汇总 BOM                                                                                                                              
TR0004400048CS12                                            多层 BOM                                                                                                                              
TR0004400047CS11                                            逐层显示 BOM                                                                                                                            
TR0004400046CC01                                            创建更改主记录                                                                                                                             
TR0004400045CS01                                            生成物料 BOM                                                                                                                            
TR0007300129KO02                                            更改订单                                                                                                                                
TR0007300128S_ALR_87012993                                  订单: 实际/计划/差异                                                                                                                        
TR0007300127ABAON                                           无客户的资产销售                                                                                                                            
TR0007300126F-92                                            销售部门用户处的资产报废                                                                                                                        
TR0007300125AR01                                            调用资产清单                                                                                                                              
TR0007300124KO88                                            实际结算：订单                                                                                                                             
TR0007300123KO02                                            更改订单                                                                                                                                
TR0007300122ABAVN                                           通过废弃的资产报废                                                                                                                           
TR0007300121AW01N                                           资产浏览器                                                                                                                               
TR0007300120MIR7                                            预制发票                                                                                                                                
TR0007300119AS03                                            显示资产主记录                                                                                                                             
TR0007300118MIR4                                            调用 MIRO - 更改状态                                                                                                                      
TR0007300117F-90                                            从供应商处的购货                                                                                                                            
TR0007300116AO90                                            科目分配购置                                                                                                                              
TR0007300115AS01                                            创建资产主记录                                                                                                                             
TR0007300114F-03                                            结算总分类帐科目                                                                                                                            
TR0007300113F-36                                            汇票收付                                                                                                                                
TR0007300112F-29                                            客户预付订金记帐                                                                                                                            
TR0007300111VK31                                            条件维护: 创建                                                                                                                            
TR0007300110VK11                                            创建条件                                                                                                                                
TR0007300109F-22                                            输入客户发票                                                                                                                              
TR0007300108F-28                                            收款记帐                                                                                                                                
TR0007300107VKOA                                            科目确定                                                                                                                                
TR0007300106F-40                                            汇票收付                                                                                                                                
TR0007300105FBRA                                            重置已结清项目                                                                                                                             
TR0007300104F.80                                            凭证批量冲销                                                                                                                              
TR0007300103FB08                                            冲销凭证                                                                                                                                
TR0007300102FBV0                                            过账预制凭证                                                                                                                              
TR0007300101F-65                                            初始过帐                                                                                                                                
TR0007300100FBL5H                                           客户行项目浏览器                                                                                                                            
TR0007300099FBL1H                                           供应商行项目浏览器                                                                                                                           
TR0007300098FBL5N                                           客户行项目                                                                                                                               
